Farm_ID,Fertilizer_Used(tons),Crop_Type,Farm_Area(acres),Irrigation_Type,Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F053,8.41,Wheat,225.36,Drip,3.3,32.17,Loamy,Rabi,40951.9
F054,1.54,Wheat,193.0,Manual,4.07,19.33,Sandy,Kharif,92583.61
F055,9.04,Rice,346.13,Flood,1.11,26.9,Peaty,Rabi,18027.87
F056,7.92,Cotton,342.11,Manual,0.68,24.98,Sandy,Rabi,51704.21
F057,8.49,Rice,350.37,Sprinkler,0.85,24.1,Sandy,Rabi,39289.13
F058,3.99,Onion,304.3,Flood,2.76,25.61,Silty,Kharif,71246.59
F059,1.86,Tomato,187.93,Rain-fed,0.6,23.64,Peaty,Kharif,71285.86
F060,4.71,Carrot,196.84,Manual,3.53,25.29,Clay,Zaid,60783.9
F061,9.01,Tomato,51.32,Sprinkler,4.47,32.1,Loamy,Kharif,72016.59
F062,8.2,Onion,54.94,Sprinkler,3.89,28.71,Clay,Zaid,48746.94
F063,2.2,Rice,409.58,Sprinkler,1.27,24.04,Peaty,Zaid,70905.98
F064,3.77,Onion,185.42,Flood,4.1,25.1,Sandy,Zaid,85613.31
F065,8.62,Carrot,416.49,Sprinkler,3.02,37.02,Peaty,Zaid,78711.33
F066,6.52,Soybean,55.96,Manual,4.02,25.27,Clay,Kharif,47733.09
F067,8.17,Potato,166.26,Flood,3.74,27.64,Sandy,Zaid,80887.72
F068,6.19,Sugarcane,31.07,Sprinkler,2.51,31.13,Silty,Rabi,71063.85
F069,4.57,Soybean,44.5,Drip,0.91,30.7,Loamy,Rabi,92651.02
F070,9.0,Onion,216.5,Flood,3.14,30.76,Clay,Zaid,95606.87
F071,7.33,Potato,86.46,Sprinkler,4.08,27.24,Sandy,Zaid,79904.08
F072,6.98,Cotton,71.82,Manual,2.1,26.7,Peaty,Zaid,88461.51
F073,5.5,Sugarcane,327.64,Rain-fed,0.32,26.03,Peaty,Rabi,46014.57
F074,7.47,Potato,106.05,Rain-fed,4.26,23.57,Clay,Rabi,21782.47
F075,5.05,Rice,297.37,Flood,0.37,29.14,Loamy,Zaid,95745.56
F076,7.06,Tomato,408.1,Drip,4.45,32.4,Clay,Zaid,79491.49
F077,2.98,Maize,284.56,Sprinkler,3.24,25.15,Peaty,Zaid,84917.23
F078,3.65,Cotton,156.02,Manual,4.51,17.95,Sandy,Rabi,71931.33
F079,9.31,Cotton,62.83,Manual,0.35,27.2,Clay,Zaid,51634.78
F080,4.29,Carrot,338.42,Manual,1.78,25.62,Clay,Zaid,57064.2
F081,2.32,Maize,221.42,Rain-fed,1.46,17.36,Loamy,Rabi,31992.95
F082,8.93,Carrot,186.01,Rain-fed,2.27,23.64,Clay,Zaid,21230.05
F083,4.51,Wheat,398.41,Rain-fed,4.1,19.96,Silty,Rabi,45933.98
F084,4.63,Sugarcane,64.04,Rain-fed,1.75,21.6,Peaty,Rabi,43286.23
F085,3.31,Maize,260.01,Flood,3.69,22.19,Loamy,Zaid,55672.66
F086,5.96,Maize,112.49,Rain-fed,4.12,25.21,Peaty,Kharif,55083.98
F087,7.96,Potato,268.71,Rain-fed,1.51,31.79,Silty,Kharif,70104.3
F088,8.25,Carrot,382.12,Drip,2.02,29.37,Sandy,Zaid,60431.39
F089,7.82,Cotton,80.21,Rain-fed,2.3,22.64,Sandy,Rabi,66591.81
F090,8.76,Sugarcane,382.94,Manual,2.18,28.47,Loamy,Zaid,48846.29
F091,9.41,Potato,296.16,Manual,1.85,30.23,Sandy,Kharif,29178.75
F092,5.13,Wheat,183.46,Manual,3.08,20.8,Sandy,Kharif,41736.28
F093,8.94,Cotton,318.81,Flood,3.76,20.47,Sandy,Rabi,20059.9
F094,4.11,Maize,267.17,Manual,0.75,22.27,Loamy,Rabi,35242.04
F095,9.35,Potato,191.23,Sprinkler,2.66,25.72,Sandy,Zaid,36963.74
F096,2.87,Sugarcane,111.19,Flood,3.74,24.61,Sandy,Rabi,77032.05
F097,4.95,Soybean,212.43,Rain-fed,3.0,16.06,Sandy,Kharif,33395.27
F098,7.12,Potato,219.84,Drip,3.86,29.87,Peaty,Zaid,31493.39
F099,7.11,Carrot,53.25,Manual,2.54,31.1,Clay,Kharif,62201.07
F100,7.82,Soybean,189.88,Sprinkler,1.43,24.65,Silty,Rabi,36885.58
F101,6.78,Tomato,412.65,Sprinkler,4.33,27.86,Clay,Zaid,42199.5
F102,2.08,Sugarcane,203.29,Drip,2.75,25.7,Loamy,Rabi,68968.75
F103,8.31,Maize,66.54,Rain-fed,0.82,27.17,Clay,Rabi,97270.65
F104,9.18,Carrot,108.47,Flood,3.46,29.42,Silty,Zaid,60164.07
F105,5.08,Maize,166.55,Rain-fed,0.98,23.56,Peaty,Kharif,69891.27
F106,3.45,Potato,321.1,Drip,3.93,29.06,Silty,Rabi,30878.88
F107,5.78,Maize,353.54,Rain-fed,2.25,29.67,Loamy,Zaid,91687.02
F108,2.74,Tomato,287.92,Manual,3.0,26.42,Clay,Zaid,66923.85
F109,5.13,Cotton,279.3,Flood,3.31,25.27,Peaty,Kharif,38761.68
F110,3.44,Sugarcane,214.07,Manual,0.86,22.44,Silty,Rabi,61764.96
F111,7.85,Soybean,184.85,Flood,0.64,23.15,Clay,Zaid,42174.06
F112,3.72,Maize,83.02,Rain-fed,3.75,14.25,Sandy,Zaid,56507.24
F113,3.33,Tomato,75.03,Rain-fed,2.63,27.3,Loamy,Zaid,85059.45
F114,9.08,Maize,410.6,Manual,1.3,31.71,Loamy,Kharif,58839.93
F115,6.6,Onion,268.76,Flood,1.16,28.17,Clay,Zaid,69909.04
F116,6.81,Tomato,349.75,Sprinkler,2.63,30.82,Peaty,Zaid,87148.83
F117,8.05,Potato,131.21,Drip,1.74,30.84,Peaty,Kharif,24159.23
F118,6.44,Tomato,402.6,Sprinkler,4.14,33.65,Loamy,Rabi,67128.46
F119,9.14,Cotton,277.49,Rain-fed,3.78,23.43,Silty,Zaid,26503.26
F120,5.04,Wheat,274.97,Manual,3.12,25.54,Peaty,Zaid,44445.91
F121,8.79,Soybean,299.06,Flood,2.49,23.98,Sandy,Zaid,47370.32
F122,2.65,Onion,41.3,Manual,2.26,23.77,Loamy,Zaid,46849.3
F123,3.18,Tomato,99.72,Sprinkler,1.33,21.74,Sandy,Kharif,38967.77
F124,7.49,Soybean,223.07,Rain-fed,4.45,27.63,Loamy,Zaid,95643.49
F125,3.47,Soybean,378.93,Manual,4.18,19.86,Silty,Rabi,34301.82
F126,5.8,Onion,404.97,Sprinkler,1.7,26.25,Clay,Zaid,32490.12
F127,5.78,Sugarcane,147.55,Flood,2.93,31.29,Loamy,Kharif,78711.38
F128,1.65,Potato,413.15,Sprinkler,0.38,26.38,Loamy,Rabi,23014.78
F129,8.54,Carrot,68.6,Manual,1.39,26.56,Peaty,Rabi,19841.17
F130,2.6,Tomato,208.19,Drip,1.04,28.55,Clay,Zaid,56302.07
F131,2.37,Soybean,111.34,Rain-fed,0.59,18.24,Silty,Zaid,88054.12
F132,8.07,Potato,251.69,Manual,0.93,31.97,Peaty,Kharif,31125.6
F133,2.26,Wheat,325.63,Flood,1.36,27.19,Silty,Rabi,91394.18
F134,1.61,Carrot,111.82,Flood,0.59,27.68,Silty,Kharif,79768.07
F135,8.31,Onion,175.55,Flood,4.41,26.8,Sandy,Kharif,62456.45
F136,8.19,Carrot,331.86,Sprinkler,0.75,32.79,Clay,Rabi,33755.59
F137,8.84,Onion,305.53,Sprinkler,3.56,30.69,Peaty,Rabi,76214.84
F138,6.63,Soybean,81.36,Drip,1.66,32.41,Silty,Kharif,92575.9
F139,8.31,Cotton,365.45,Flood,0.65,29.14,Clay,Zaid,76317.49
F140,6.85,Maize,64.74,Rain-fed,3.82,22.98,Sandy,Zaid,91832.99
F141,8.57,Onion,314.9,Flood,3.15,26.92,Sandy,Rabi,31539.01
F142,5.27,Potato,142.41,Sprinkler,4.2,25.54,Clay,Rabi,36770.83
F143,7.14,Maize,232.25,Drip,1.56,23.73,Sandy,Zaid,61920.1
F144,2.61,Onion,58.55,Manual,4.29,25.82,Peaty,Zaid,96788.78
F145,2.62,Carrot,363.7,Flood,1.42,30.25,Loamy,Zaid,95023.4
F146,8.92,Wheat,151.84,Flood,2.27,34.88,Loamy,Kharif,91209.69
F147,4.47,Cotton,374.24,Rain-fed,3.78,22.47,Loamy,Rabi,87060.0
F148,5.16,Potato,286.4,Manual,1.24,28.41,Peaty,Zaid,87176.68
F149,4.73,Maize,89.72,Sprinkler,4.0,26.89,Clay,Zaid,83146.58
F150,1.56,Cotton,132.43,Drip,3.52,18.21,Clay,Rabi,31683.09
F151,7.31,Wheat,326.74,Sprinkler,1.36,23.22,Clay,Kharif,18009.41
F152,8.5,Wheat,356.06,Manual,2.2,23.83,Sandy,Kharif,33472.39
F153,2.68,Sugarcane,23.96,Drip,0.95,26.51,Sandy,Zaid,91366.06
F154,3.44,Cotton,38.98,Sprinkler,4.56,18.55,Sandy,Zaid,46694.96
F155,3.56,Potato,53.07,Drip,4.31,28.28,Clay,Zaid,68511.6
F156,2.89,Soybean,22.67,Manual,4.37,20.16,Peaty,Rabi,19512.16
F157,5.18,Maize,262.02,Drip,1.57,31.8,Peaty,Kharif,79554.5
F158,8.62,Potato,299.26,Sprinkler,1.97,36.05,Loamy,Kharif,41779.71
F159,8.04,Rice,29.39,Drip,4.55,29.85,Clay,Rabi,35744.04
F160,4.51,Carrot,244.98,Drip,0.77,28.89,Peaty,Kharif,21525.16
F161,2.89,Onion,389.55,Manual,2.16,20.76,Peaty,Zaid,26243.94
F162,1.61,Wheat,191.21,Sprinkler,3.3,20.08,Clay,Zaid,63973.67
F163,4.6,Wheat,402.3,Rain-fed,4.64,25.8,Peaty,Kharif,91371.58
F164,7.12,Maize,98.81,Sprinkler,4.06,30.32,Clay,Kharif,66552.52
F165,6.21,Carrot,104.8,Flood,1.5,30.1,Peaty,Rabi,60880.79
F166,3.77,Onion,30.97,Flood,0.43,24.73,Loamy,Zaid,22789.5
F167,3.24,Wheat,382.31,Drip,2.7,22.48,Sandy,Zaid,66900.02
F168,5.87,Sugarcane,130.0,Flood,1.53,27.54,Peaty,Zaid,33233.37
F169,3.47,Soybean,200.74,Rain-fed,1.06,18.23,Silty,Rabi,67425.53
F170,3.08,Maize,130.29,Sprinkler,0.9,21.68,Silty,Zaid,46475.26
F171,9.27,Onion,413.35,Drip,0.51,32.35,Sandy,Kharif,90464.03
F172,8.81,Tomato,222.49,Flood,3.6,30.55,Peaty,Rabi,40847.02
F173,8.48,Onion,370.99,Manual,1.76,29.3,Clay,Zaid,45823.91
F174,8.33,Maize,321.94,Rain-fed,2.94,28.16,Loamy,Rabi,62359.24
F175,2.05,Wheat,402.67,Rain-fed,1.59,23.25,Loamy,Kharif,94752.69
F176,4.35,Maize,300.3,Manual,2.27,27.73,Clay,Kharif,74503.53
F177,1.98,Sugarcane,223.63,Manual,1.26,22.79,Peaty,Kharif,21704.15
F178,3.47,Onion,415.47,Sprinkler,0.46,27.58,Peaty,Rabi,82706.63
F179,8.91,Maize,34.3,Rain-fed,4.17,25.26,Loamy,Rabi,66887.03
F180,7.35,Onion,42.16,Drip,0.7,33.63,Peaty,Zaid,88564.08
F181,1.92,Onion,181.04,Sprinkler,0.59,28.31,Peaty,Kharif,86775.42
F182,8.56,Tomato,99.75,Sprinkler,3.0,34.28,Clay,Rabi,80368.64
F183,2.56,Potato,141.18,Sprinkler,2.49,26.65,Peaty,Kharif,65912.25
F184,4.32,Onion,97.14,Flood,1.89,27.78,Loamy,Rabi,77508.91
F185,7.26,Wheat,232.8,Flood,3.97,24.32,Loamy,Zaid,45496.24
F186,7.36,Rice,179.54,Rain-fed,2.65,27.5,Silty,Rabi,91200.26
F187,6.78,Tomato,249.13,Flood,0.66,26.12,Silty,Kharif,34201.08
F188,6.1,Tomato,301.54,Flood,4.23,26.24,Clay,Zaid,21012.16
F189,1.52,Potato,390.18,Sprinkler,0.51,26.32,Loamy,Rabi,59325.43
F190,6.77,Wheat,272.19,Manual,0.77,26.78,Peaty,Zaid,23674.13
F191,6.38,Maize,223.84,Manual,2.01,27.88,Clay,Rabi,90750.32
F192,7.59,Wheat,357.77,Manual,1.99,19.29,Sandy,Zaid,21892.18
F193,8.03,Soybean,202.9,Sprinkler,1.34,30.16,Clay,Zaid,92438.33
F194,1.93,Maize,188.3,Flood,4.46,18.14,Sandy,Kharif,31844.15
F195,4.35,Onion,125.09,Flood,1.83,18.71,Sandy,Rabi,39398.35
F196,6.85,Rice,135.06,Manual,1.44,24.5,Peaty,Rabi,45404.52
F197,3.97,Sugarcane,84.13,Flood,4.72,26.09,Clay,Rabi,60258.93
F198,8.82,Onion,235.01,Drip,1.44,29.62,Silty,Zaid,60452.06
F199,7.91,Maize,288.77,Manual,2.35,27.16,Peaty,Zaid,20437.53
F200,2.78,Tomato,105.48,Rain-fed,3.94,20.9,Peaty,Zaid,88998.35
